Heimkehr,6.9,Drama/Romance/War
High Treason,6.0,Sci-Fi
Jûjiro,7.1,Drama
A Lady of Chance,6.9,Comedy/Drama/Romance
The Last Command,8.0,Drama/History/Romance
Laugh Clown Laugh,7.6,Drama
Lights of New York,5.7,Crime/Drama/Music
Lilac Time,6.1,Drama/Romance/War
Lonesome,7.8,Comedy/Drama/Romance
Maldone,6.8,Drama
The Man Who Laughs,7.7,Drama/Horror/Mystery
The Matinee Idol,6.8,Comedy/Romance
The Mating Call,6.8,Drama
Mother Machree,5.3,Drama
Moulin Rouge,6.5,Drama
The Mysterious Lady,7.2,Drama/Romance
Our Dancing Daughters,6.7,Drama
